Area;Item;Year;Value
Algeria;Drained organic soils (CO2);2000;0
Algeria;Drained organic soils (CO2);2020;0
Algeria;Drained organic soils (N2O);2000;0
Algeria;Drained organic soils (N2O);2020;0
Algeria;On-farm energy use;2000;109.2701
Algeria;On-farm energy use;2020;198.7563
Algeria;Forestland;2000;-111.1403
Algeria;Forestland;2020;-440.7773
Algeria;Net Forest conversion;2000;684.9333
Algeria;Net Forest conversion;2020;637.8973
Algeria;Savanna fires;2000;86.06
Algeria;Savanna fires;2020;41.1136
Algeria;Fires in organic soils;2000;0
Algeria;Fires in organic soils;2020;0
Algeria;Forest fires;2000;410.6693
Algeria;Forest fires;2020;107.1825
Algeria;Fires in humid tropical forests;2000;0
Algeria;Fires in humid tropical forests;2020;0
Algeria;Agrifood Systems Waste Disposal;2000;7593.3417
Algeria;Agrifood Systems Waste Disposal;2020;9494.9015
Algeria;Fertilizers Manufacturing;2000;449.0023
Algeria;Fertilizers Manufacturing;2020;2744.6234
Algeria;Pesticides Manufacturing;2000;35
Algeria;Pesticides Manufacturing;2020;48
Algeria;On-farm Electricity Use;2000;86.4925
Algeria;On-farm Electricity Use;2020;626.6865
Algeria;Food Processing;2000;132.8227
Algeria;Food Processing;2020;2528.6092
Algeria;Food Packaging;2000;116.9712
Algeria;Food Packaging;2020;1884.2194
Algeria;Food Retail;2000;206.6857
Algeria;Food Retail;2020;922.8476
Algeria;Food Household Consumption;2000;9644.023
Algeria;Food Household Consumption;2020;24237.5526
Algeria;Food Transport;2000;1712.3982
Algeria;Food Transport;2020;4307.4471
Algeria;Energy;2000;158272.655
Algeria;Energy;2020;221194.6
Algeria;IPPU;2000;6752.9784
Algeria;IPPU;2020;17426.2902
Algeria;Waste;2000;11688.09
Algeria;Waste;2020;21103.2
Algeria;Other;2000;275.6
Algeria;Other;2020;636
American Samoa;Drained organic soils;2000;0
American Samoa;Drained organic soils;2020;0
American Samoa;Drained organic soils (CO2);2000;0
American Samoa;Drained organic soils (CO2);2020;0
American Samoa;Drained organic soils (N2O);2000;0
American Samoa;Drained organic soils (N2O);2020;0
American Samoa;On-farm energy use;2000;32.3533
American Samoa;On-farm energy use;2020;18.983
American Samoa;Forestland;2000;-58.8991
American Samoa;Forestland;2020;-50.3736
American Samoa;Net Forest conversion;2000;7.9612
American Samoa;Net Forest conversion;2020;9.2257
American Samoa;Savanna fires;2000;0
American Samoa;Savanna fires;2020;0
American Samoa;Fires in organic soils;2000;0
American Samoa;Fires in organic soils;2020;0
American Samoa;Forest fires;2000;0
American Samoa;Forest fires;2020;0
American Samoa;Fires in humid tropical forests;2000;0
American Samoa;Fires in humid tropical forests;2020;0
American Samoa;Agrifood Systems Waste Disposal;2000;2.068
American Samoa;Agrifood Systems Waste Disposal;2020;2.1052
American Samoa;Food Processing;2000;73.8449
American Samoa;Food Processing;2020;43.5977
American Samoa;Food Retail;2000;6.6172
American Samoa;Food Retail;2020;3.8553
American Samoa;Food Household Consumption;2000;0.5104
American Samoa;Food Household Consumption;2020;0.7244
American Samoa;Food Transport;2000;14.9494
