Area;Item;Year;Value
Democratic People's Republic of Korea;Forest fires;2020;2.8598
Democratic People's Republic of Korea;Fires in humid tropical forests;2000;0
Democratic People's Republic of Korea;Fires in humid tropical forests;2020;0
Democratic People's Republic of Korea;On-farm Electricity Use;2000;173.7649
Democratic People's Republic of Korea;On-farm Electricity Use;2020;49.8065
Democratic People's Republic of Korea;Food Packaging;2000;6.6293
Democratic People's Republic of Korea;Food Packaging;2020;3.8794
Democratic People's Republic of Korea;Food Retail;2000;237.6651
Democratic People's Republic of Korea;Food Retail;2020;2093.0407
Democratic People's Republic of Korea;Food Household Consumption;2000;9.4176
Democratic People's Republic of Korea;Food Household Consumption;2020;681.2272
Democratic People's Republic of Korea;Food Transport;2000;190.8365
Democratic People's Republic of Korea;Food Transport;2020;175.1875
Democratic People's Republic of Korea;Energy;2000;81295.3
Democratic People's Republic of Korea;Energy;2020;32155.195
Democratic People's Republic of Korea;IPPU;2000;5285.1452
Democratic People's Republic of Korea;IPPU;2020;11988.2748
Democratic People's Republic of Korea;Waste;2000;6261.335
Democratic People's Republic of Korea;Waste;2020;6956.58
Democratic People's Republic of Korea;Other;2000;323.3
Democratic People's Republic of Korea;Other;2020;54.325
Democratic Republic of the Congo;Crop Residues;2000;153.8039
Democratic Republic of the Congo;Crop Residues;2020;358.9845
Democratic Republic of the Congo;Rice Cultivation;2000;298.1587
Democratic Republic of the Congo;Rice Cultivation;2020;879.648
Democratic Republic of the Congo;Burning - Crop residues;2000;165.1629
Democratic Republic of the Congo;Burning - Crop residues;2020;329.0472
Democratic Republic of the Congo;Enteric Fermentation;2000;1453.9753
Democratic Republic of the Congo;Enteric Fermentation;2020;1835.8472
Democratic Republic of the Congo;Manure Management;2000;218.443
Democratic Republic of the Congo;Manure Management;2020;223.157
Democratic Republic of the Congo;Manure left on Pasture;2000;816.1593
Democratic Republic of the Congo;Manure left on Pasture;2020;978.7149
Democratic Republic of the Congo;Manure applied to Soils;2000;109.3148
Democratic Republic of the Congo;Manure applied to Soils;2020;105.6508
Democratic Republic of the Congo;Synthetic Fertilizers;2000;1.6553
Democratic Republic of the Congo;Synthetic Fertilizers;2020;130.7074
Democratic Republic of the Congo;Drained organic soils;2000;490.6412
Democratic Republic of the Congo;Drained organic soils;2020;477.811
Democratic Republic of the Congo;Drained organic soils (CO2);2000;471.1626
Democratic Republic of the Congo;Drained organic soils (CO2);2020;458.824
Democratic Republic of the Congo;Drained organic soils (N2O);2000;19.4786
Democratic Republic of the Congo;Drained organic soils (N2O);2020;18.987
Democratic Republic of the Congo;Forestland;2000;-65.4588
Democratic Republic of the Congo;Forestland;2020;0
Democratic Republic of the Congo;Net Forest conversion;2000;367180.2288
Democratic Republic of the Congo;Net Forest conversion;2020;600789.5942
Democratic Republic of the Congo;Savanna fires;2000;14511.9241
Democratic Republic of the Congo;Savanna fires;2020;22422.0822
Democratic Republic of the Congo;Fires in organic soils;2000;0
Democratic Republic of the Congo;Fires in organic soils;2020;0
Democratic Republic of the Congo;Forest fires;2000;25538.6954
Democratic Republic of the Congo;Forest fires;2020;30681.0753
Democratic Republic of the Congo;Fires in humid tropical forests;2000;24999.653
Democratic Republic of the Congo;Fires in humid tropical forests;2020;30483.3428
Democratic Republic of the Congo;Agrifood Systems Waste Disposal;2000;6616.2717
Democratic Republic of the Congo;Agrifood Systems Waste Disposal;2020;8388.5009
Democratic Republic of the Congo;On-farm Electricity Use;2000;0.0406
Democratic Republic of the Congo;On-farm Electricity Use;2020;0.0679
Democratic Republic of the Congo;Food Processing;2020;0.0362
Democratic Republic of the Congo;Food Packaging;2000;7.3317
Democratic Republic of the Congo;Food Packaging;2020;8.5781
Democratic Republic of the Congo;Food Retail;2000;202.1075
Democratic Republic of the Congo;Food Retail;2020;1611.1327
Democratic Republic of the Congo;Food Household Consumption;2000;10.7263
Democratic Republic of the Congo;Food Household Consumption;2020;11.0499
Democratic Republic of the Congo;Food Transport;2000;88.4664
Democratic Republic of the Congo;Food Transport;2020;247.5917
Democratic Republic of the Congo;Energy;2000;11330.3
Democratic Republic of the Congo;Energy;2020;25386
Democratic Republic of the Congo;IPPU;2000;261.1373
Democratic Republic of the Congo;IPPU;2020;710.2547
Democratic Republic of the Congo;Waste;2000;8377.665
Democratic Republic of the Congo;Waste;2020;17994.4
Democratic Republic of the Congo;Other;2000;325.95
Democratic Republic of the Congo;Other;2020;821.5
Denmark;Crop Residues;2000;566.9949
Denmark;Crop Residues;2020;575.5086
Denmark;Burning - Crop residues;2000;23.6311
Denmark;Burning - Crop residues;2020;19.5116
Denmark;Enteric Fermentation;2000;4602.921
Denmark;Enteric Fermentation;2020;3959.6662
Denmark;Manure Management;2000;3329.6548
Denmark;Manure Management;2020;3493.3345
Denmark;Manure left on Pasture;2000;357.7685
Denmark;Manure left on Pasture;2020;295.7444
Denmark;Manure applied to Soils;2000;1018.6949
Denmark;Manure applied to Soils;2020;1019.6623
Denmark;Synthetic Fertilizers;2000;1291.1368
Denmark;Synthetic Fertilizers;2020;1284.3341
Denmark;Drained organic soils;2000;2817.075
Denmark;Drained organic soils;2020;2779.6903
Denmark;Drained organic soils (CO2);2000;2372.8469
Denmark;Drained organic soils (CO2);2020;2341.3433
Denmark;Drained organic soils (N2O);2000;444.2281
Denmark;Drained organic soils (N2O);2020;438.347
Denmark;On-farm energy use;2000;2476.8914
Denmark;On-farm energy use;2020;222.6151
Denmark;Forestland;2000;-822.9159
Denmark;Forestland;2020;-2544.3042
Denmark;Net Forest conversion;2000;0
Denmark;Net Forest conversion;2020;2260.8729
Denmark;Savanna fires;2000;0.0109
Denmark;Savanna fires;2020;0
Denmark;Fires in organic soils;2000;0
Denmark;Fires in organic soils;2020;0
Denmark;Forest fires;2000;0.1969
Denmark;Forest fires;2020;0
Denmark;Fires in humid tropical forests;2000;0
Denmark;Fires in humid tropical forests;2020;0
Denmark;Agrifood Systems Waste Disposal;2000;1589.8806
Denmark;Agrifood Systems Waste Disposal;2020;725.2877
Denmark;Pesticides Manufacturing;2000;147
Denmark;Pesticides Manufacturing;2020;66
Denmark;On-farm Heat Use;2000;123
Denmark;On-farm Heat Use;2020;20
Denmark;On-farm Electricity Use;2000;882.9677
Denmark;On-farm Electricity Use;2020;125.1305
Denmark;Food Processing;2000;2692.6944
Denmark;Food Processing;2020;1390.284
Denmark;Food Packaging;2000;191.0343
Denmark;Food Packaging;2020;102.2688
Denmark;Food Retail;2000;1114.757
Denmark;Food Retail;2020;358.3682
Denmark;Food Household Consumption;2000;1683.0806
Denmark;Food Household Consumption;2020;410.6139
Denmark;Food Transport;2000;915.0991
Denmark;Food Transport;2020;934.3393
Denmark;Energy;2000;53318.75
Denmark;Energy;2020;23949.05
Denmark;IPPU;2000;6010.6724
Denmark;IPPU;2020;3757.8502
Denmark;Waste;2000;1952.57
Denmark;Waste;2020;1718.11
Denmark;Other;2000;272.95
Denmark;Other;2020;91.955
Djibouti;Crop Residues;2000;0.3834
Djibouti;Crop Residues;2020;0.329
Djibouti;Burning - Crop residues;2000;0.0006
Djibouti;Burning - Crop residues;2020;0.0008
Djibouti;Enteric Fermentation;2000;495.357
Djibouti;Enteric Fermentation;2020;504.2953
Djibouti;Manure Management;2000;21.1622
Djibouti;Manure Management;2020;21.5651
Djibouti;Manure left on Pasture;2000;211.8944
Djibouti;Manure left on Pasture;2020;214.5644
Djibouti;Manure applied to Soils;2000;3.6101
Djibouti;Manure applied to Soils;2020;3.7115
Djibouti;Drained organic soils;2000;0
Djibouti;Drained organic soils;2020;0
Djibouti;Drained organic soils (CO2);2000;0
Djibouti;Drained organic soils (CO2);2020;0
Djibouti;Drained organic soils (N2O);2000;0
Djibouti;Drained organic soils (N2O);2020;0
Djibouti;On-farm energy use;2000;21.829
Djibouti;On-farm energy use;2020;6.4577
Djibouti;Forestland;2000;0
Djibouti;Forestland;2020;0.0059
Djibouti;Net Forest conversion;2000;0
Djibouti;Net Forest conversion;2020;0
Djibouti;Savanna fires;2000;0.0045
Djibouti;Savanna fires;2020;0.0133
Djibouti;Fires in organic soils;2000;0
Djibouti;Fires in organic soils;2020;0
Djibouti;Forest fires;2000;0
Djibouti;Forest fires;2020;0
Djibouti;Fires in humid tropical forests;2000;0
Djibouti;Fires in humid tropical forests;2020;0
Djibouti;Agrifood Systems Waste Disposal;2000;72.9966
Djibouti;Agrifood Systems Waste Disposal;2020;101.0028
Djibouti;On-farm Electricity Use;2000;4.1493
Djibouti;On-farm Electricity Use;2020;2.6894
Djibouti;Food Retail;2000;18.643
Djibouti;Food Retail;2020;132.9078
Djibouti;Food Household Consumption;2000;12.291
Djibouti;Food Household Consumption;2020;15.2445
Djibouti;Food Transport;2000;8.1544
Djibouti;Food Transport;2020;12.1419
Djibouti;Energy;2000;451.224
Djibouti;Energy;2020;428.2395
Djibouti;IPPU;2000;2.2821
Djibouti;IPPU;2020;80.8029
Djibouti;Waste;2000;344.6035
Djibouti;Waste;2020;535.4985
Djibouti;Other;2000;10.7855
Djibouti;Other;2020;14.7075
Dominica;Crop Residues;2000;0.0112
Dominica;Crop Residues;2020;0.0116
Dominica;Burning - Crop residues;2000;0.0256
Dominica;Burning - Crop residues;2020;0.0261
Dominica;Enteric Fermentation;2000;26.771
Dominica;Enteric Fermentation;2020;28.4584
Dominica;Manure Management;2000;1.2961
Dominica;Manure Management;2020;1.35
Dominica;Manure left on Pasture;2000;6.049
Dominica;Manure left on Pasture;2020;6.3932
Dominica;Manure applied to Soils;2000;2.1732
Dominica;Manure applied to Soils;2020;2.2907
Dominica;Synthetic Fertilizers;2000;5.5177
Dominica;Synthetic Fertilizers;2020;0.7108
Dominica;Drained organic soils;2000;0
Dominica;Drained organic soils;2020;0
Dominica;Drained organic soils (CO2);2000;0
Dominica;Drained organic soils (CO2);2020;0
Dominica;Drained organic soils (N2O);2000;0
Dominica;Drained organic soils (N2O);2020;0
Dominica;On-farm energy use;2000;1.4776
Dominica;On-farm energy use;2020;3.5099
Dominica;Forestland;2000;0.1781
Dominica;Forestland;2020;-13.9262
Dominica;Net Forest conversion;2000;54.9141
Dominica;Net Forest conversion;2020;0
Dominica;Savanna fires;2000;0
Dominica;Savanna fires;2020;0
Dominica;Fires in organic soils;2000;0
Dominica;Fires in organic soils;2020;0
Dominica;Forest fires;2000;0
Dominica;Forest fires;2020;0
Dominica;Fires in humid tropical forests;2000;0
Dominica;Fires in humid tropical forests;2020;0
Dominica;Agrifood Systems Waste Disposal;2000;16.3221
Dominica;Agrifood Systems Waste Disposal;2020;16.6125
Dominica;On-farm Electricity Use;2000;1.249
Dominica;On-farm Electricity Use;2020;2.5783
Dominica;Food Retail;2000;3.7145
Dominica;Food Retail;2020;7.6296
Dominica;Food Household Consumption;2000;7.3812
Dominica;Food Household Consumption;2020;8.412
Dominica;Food Transport;2000;8.4612
Dominica;Food Transport;2020;5.3361
Dominica;Energy;2000;103.9726
Dominica;Energy;2020;153.1557
Dominica;IPPU;2000;30.1056
Dominica;IPPU;2020;0.0804
Dominica;Waste;2000;29.6094
Dominica;Waste;2020;35.1113
Dominica;Other;2000;1.5635
Dominica;Other;2020;3.7895
Dominican Republic;Crop Residues;2000;38.8554
Dominican Republic;Crop Residues;2020;61.5835
Dominican Republic;Rice Cultivation;2000;963.3273
Dominican Republic;Rice Cultivation;2020;1445.2176
Dominican Republic;Burning - Crop residues;2000;15.6042
Dominican Republic;Burning - Crop residues;2020;20.1043
Dominican Republic;Enteric Fermentation;2000;3600.6157
Dominican Republic;Enteric Fermentation;2020;5391.3217
Dominican Republic;Manure Management;2000;189.1433
Dominican Republic;Manure Management;2020;359.4654
Dominican Republic;Manure left on Pasture;2000;976.09
Dominican Republic;Manure left on Pasture;2020;1590.14
Dominican Republic;Manure applied to Soils;2000;172.5018
Dominican Republic;Manure applied to Soils;2020;397.5802
Dominican Republic;Synthetic Fertilizers;2000;267.6074
Dominican Republic;Synthetic Fertilizers;2020;494.5784
Dominican Republic;Drained organic soils;2000;0
Dominican Republic;Drained organic soils;2020;0
Dominican Republic;Drained organic soils (CO2);2000;0
Dominican Republic;Drained organic soils (CO2);2020;0
Dominican Republic;Drained organic soils (N2O);2000;0
Dominican Republic;Drained organic soils (N2O);2020;0
Dominican Republic;On-farm energy use;2000;347.7909
Dominican Republic;On-farm energy use;2020;332.9299
Dominican Republic;Forestland;2000;-7268.415
Dominican Republic;Forestland;2020;-2161.005
Dominican Republic;Net Forest conversion;2000;0
Dominican Republic;Net Forest conversion;2020;603.68
Dominican Republic;Savanna fires;2000;11.1761
Dominican Republic;Savanna fires;2020;3.2495
Dominican Republic;Fires in organic soils;2000;0
Dominican Republic;Fires in organic soils;2020;0
Dominican Republic;Forest fires;2000;36.381
Dominican Republic;Forest fires;2020;1.0453
Dominican Republic;Fires in humid tropical forests;2000;20.2948
Dominican Republic;Fires in humid tropical forests;2020;0.139
Dominican Republic;Agrifood Systems Waste Disposal;2000;3937.6419
Dominican Republic;Agrifood Systems Waste Disposal;2020;4273.6837
Dominican Republic;Pesticides Manufacturing;2000;177
Dominican Republic;Pesticides Manufacturing;2020;207
Dominican Republic;On-farm Electricity Use;2000;921.1451
Dominican Republic;On-farm Electricity Use;2020;714.5726
Dominican Republic;Food Processing;2000;1029.9622
Dominican Republic;Food Processing;2020;1348.1536
Dominican Republic;Food Packaging;2000;204.6318
Dominican Republic;Food Packaging;2020;217.402
Dominican Republic;Food Retail;2000;438.497
Dominican Republic;Food Retail;2020;1752.9578
Dominican Republic;Food Household Consumption;2000;1241.5301
Dominican Republic;Food Household Consumption;2020;1253.417
Dominican Republic;Food Transport;2000;753.7318
Dominican Republic;Food Transport;2020;780.4834
Dominican Republic;Energy;2000;19067.25
Dominican Republic;Energy;2020;21568.105
Dominican Republic;IPPU;2000;1120.025
Dominican Republic;IPPU;2020;2230.0326
Dominican Republic;Waste;2000;2795.834
Dominican Republic;Waste;2020;5221.807
Dominican Republic;Other;2000;225.515
Dominican Republic;Other;2020;227.37
Ecuador;Crop Residues;2000;133.8087
Ecuador;Crop Residues;2020;151.5159
Ecuador;Rice Cultivation;2000;1991.2738
Ecuador;Rice Cultivation;2020;1839.7109
Ecuador;Burning - Crop residues;2000;60.9071
Ecuador;Burning - Crop residues;2020;57.1185
Ecuador;Enteric Fermentation;2000;7897.2207
Ecuador;Enteric Fermentation;2020;7445.7814
Ecuador;Manure Management;2000;460.8491
Ecuador;Manure Management;2020;424.1685
Ecuador;Manure left on Pasture;2000;2107.1537
Ecuador;Manure left on Pasture;2020;1941.4416
Ecuador;Manure applied to Soils;2000;468.408
Ecuador;Manure applied to Soils;2020;501.1165
Ecuador;Synthetic Fertilizers;2000;395.0658
Ecuador;Synthetic Fertilizers;2020;1148.8501
Ecuador;Drained organic soils;2000;17.2964
Ecuador;Drained organic soils;2020;84.45
Ecuador;Drained organic soils (CO2);2000;16.5996
Ecuador;Drained organic soils (CO2);2020;81.0195
Ecuador;Drained organic soils (N2O);2000;0.6968
Ecuador;Drained organic soils (N2O);2020;3.4306
Ecuador;On-farm energy use;2000;189.735
Ecuador;On-farm energy use;2020;417.6158
Ecuador;Forestland;2000;-1042.183
Ecuador;Forestland;2020;0
Ecuador;Net Forest conversion;2000;37579.7727
Ecuador;Net Forest conversion;2020;26042.4182
Ecuador;Savanna fires;2000;15.2087
Ecuador;Savanna fires;2020;28.2384
Ecuador;Fires in organic soils;2000;0
Ecuador;Fires in organic soils;2020;0
Ecuador;Forest fires;2000;1.7297
Ecuador;Forest fires;2020;13.6817
Ecuador;Fires in humid tropical forests;2000;0.7148
Ecuador;Fires in humid tropical forests;2020;1.5267
Ecuador;Agrifood Systems Waste Disposal;2000;3855.1105
Ecuador;Agrifood Systems Waste Disposal;2020;4571.9396
Ecuador;Pesticides Manufacturing;2000;61
Ecuador;Pesticides Manufacturing;2020;563
Ecuador;On-farm Electricity Use;2000;430.4729
Ecuador;On-farm Electricity Use;2020;1092.1666
Ecuador;Food Retail;2000;140.3729
Ecuador;Food Retail;2020;466.3191
Ecuador;Food Household Consumption;2000;1290.5918
Ecuador;Food Household Consumption;2020;2002.2853
Ecuador;Food Transport;2000;1008.2263
Ecuador;Food Transport;2020;1645.0231
Ecuador;Energy;2000;25735.54
Ecuador;Energy;2020;41844.58
Ecuador;IPPU;2000;1411.6187
Ecuador;IPPU;2020;2877.1889
Ecuador;Waste;2000;4488.995
Ecuador;Waste;2020;6195.23
Ecuador;Other;2000;191.595
Ecuador;Other;2020;397.5
Egypt;Crop Residues;2000;1048.5903
Egypt;Crop Residues;2020;1230.0193
Egypt;Rice Cultivation;2000;5168.2613
Egypt;Rice Cultivation;2020;4344.9672
Egypt;Burning - Crop residues;2000;160.6845
Egypt;Burning - Crop residues;2020;225.9656
Egypt;Enteric Fermentation;2000;11240.9161
Egypt;Enteric Fermentation;2020;6339.0016
Egypt;Manure Management;2000;453.9758
Egypt;Manure Management;2020;337.3524
Egypt;Manure left on Pasture;2000;4481.7651
Egypt;Manure left on Pasture;2020;2987.0895
Egypt;Manure applied to Soils;2000;148.2065
Egypt;Manure applied to Soils;2020;158.8753
Egypt;Synthetic Fertilizers;2000;5922.7645
Egypt;Synthetic Fertilizers;2020;6871.1651
Egypt;Drained organic soils;2000;0
Egypt;Drained organic soils;2020;0
Egypt;Drained organic soils (CO2);2000;0
Egypt;Drained organic soils (CO2);2020;0
Egypt;Drained organic soils (N2O);2000;0
Egypt;Drained organic soils (N2O);2020;0
Egypt;On-farm energy use;2000;2368.083
Egypt;On-farm energy use;2020;2848.8773
Egypt;Forestland;2000;-409.2139
Egypt;Forestland;2020;0
Egypt;Net Forest conversion;2000;0
Egypt;Net Forest conversion;2020;182.8177
Egypt;Savanna fires;2000;0.1486
Egypt;Savanna fires;2020;5.8815
Egypt;Fires in organic soils;2000;0
Egypt;Fires in organic soils;2020;0
Egypt;Forest fires;2000;0
Egypt;Forest fires;2020;0
Egypt;Fires in humid tropical forests;2000;0
Egypt;Fires in humid tropical forests;2020;0
Egypt;Agrifood Systems Waste Disposal;2000;13756.3705
Egypt;Agrifood Systems Waste Disposal;2020;17236.4981
Egypt;Fertilizers Manufacturing;2000;3002.372
Egypt;Fertilizers Manufacturing;2020;10890.6234
Egypt;Pesticides Manufacturing;2000;88
Egypt;Pesticides Manufacturing;2020;273
Egypt;On-farm Electricity Use;2000;840.6793
Egypt;On-farm Electricity Use;2020;3834.8123
Egypt;Food Packaging;2000;85.5538
Egypt;Food Packaging;2020;176.7411
Egypt;Food Retail;2000;1712.6742
Egypt;Food Retail;2020;6054.1219
Egypt;Food Household Consumption;2000;7731.0355
Egypt;Food Household Consumption;2020;18238.4456
Egypt;Food Transport;2000;2954.3057
Egypt;Food Transport;2020;5539.0072
Egypt;Energy;2000;154074.05
Egypt;Energy;2020;246660.5
Egypt;IPPU;2000;21169.9625
Egypt;IPPU;2020;36608.7495
Egypt;Waste;2000;14962.547
Egypt;Waste;2020;22462.98
Egypt;Other;2000;630.7
Egypt;Other;2020;993.75
El Salvador;Crop Residues;2000;45.7686
El Salvador;Crop Residues;2020;56.1383
El Salvador;Rice Cultivation;2000;6.3935
El Salvador;Rice Cultivation;2020;2.8687
El Salvador;Burning - Crop residues;2000;29.0297
El Salvador;Burning - Crop residues;2020;33.4125
El Salvador;Enteric Fermentation;2000;1836.0605
El Salvador;Enteric Fermentation;2020;1234.1801
El Salvador;Manure Management;2000;81.6956
El Salvador;Manure Management;2020;72.6846
El Salvador;Manure left on Pasture;2000;427.4247
El Salvador;Manure left on Pasture;2020;311.3455
El Salvador;Manure applied to Soils;2000;98.8372
El Salvador;Manure applied to Soils;2020;84.8425
El Salvador;Synthetic Fertilizers;2000;267.3481
El Salvador;Synthetic Fertilizers;2020;223.121
El Salvador;Drained organic soils;2000;0
El Salvador;Drained organic soils;2020;0
El Salvador;Drained organic soils (CO2);2000;0
El Salvador;Drained organic soils (CO2);2020;0
El Salvador;Drained organic soils (N2O);2000;0
El Salvador;Drained organic soils (N2O);2020;0
El Salvador;On-farm energy use;2000;166.9444
El Salvador;On-farm energy use;2020;226.2839
El Salvador;Forestland;2000;-61.5014
El Salvador;Forestland;2020;-61.5014
El Salvador;Net Forest conversion;2000;1142.5814
El Salvador;Net Forest conversion;2020;1142.5814
El Salvador;Savanna fires;2000;2.1602
El Salvador;Savanna fires;2020;4.5986
El Salvador;Fires in organic soils;2000;0
El Salvador;Fires in organic soils;2020;0
El Salvador;Forest fires;2000;5.8491
El Salvador;Forest fires;2020;7.1582
El Salvador;Fires in humid tropical forests;2000;1.9384
El Salvador;Fires in humid tropical forests;2020;2.5001
El Salvador;Agrifood Systems Waste Disposal;2000;1697.8973
El Salvador;Agrifood Systems Waste Disposal;2020;1784.9768
El Salvador;Pesticides Manufacturing;2000;69
El Salvador;Pesticides Manufacturing;2020;75
El Salvador;On-farm Electricity Use;2000;19.728
El Salvador;On-farm Electricity Use;2020;18.262
El Salvador;Food Processing;2020;1.0509
El Salvador;Food Packaging;2000;0.0589
El Salvador;Food Packaging;2020;0.0549
El Salvador;Food Retail;2000;80.0972
El Salvador;Food Retail;2020;267.7922
El Salvador;Food Household Consumption;2000;350.0707
El Salvador;Food Household Consumption;2020;569.9318
El Salvador;Food Transport;2000;284.8878
El Salvador;Food Transport;2020;390.8223
El Salvador;Energy;2000;5435.965
El Salvador;Energy;2020;6302.92
El Salvador;IPPU;2000;562.4952
El Salvador;IPPU;2020;780.4377
El Salvador;Waste;2000;2039.57
El Salvador;Waste;2020;1984.375
El Salvador;Other;2000;70.49
El Salvador;Other;2020;60.155
Equatorial Guinea;Enteric Fermentation;2000;11.1327
Equatorial Guinea;Enteric Fermentation;2020;12.3441
Equatorial Guinea;Manure Management;2000;1.5093
Equatorial Guinea;Manure Management;2020;1.7594
Equatorial Guinea;Manure left on Pasture;2000;6.596
Equatorial Guinea;Manure left on Pasture;2020;7.4275
Equatorial Guinea;Manure applied to Soils;2000;0.7679
Equatorial Guinea;Manure applied to Soils;2020;0.9053
Equatorial Guinea;Drained organic soils;2000;0
Equatorial Guinea;Drained organic soils;2020;0.6848
Equatorial Guinea;Drained organic soils (CO2);2000;0
Equatorial Guinea;Drained organic soils (CO2);2020;0.6581
Equatorial Guinea;Drained organic soils (N2O);2000;0
Equatorial Guinea;Drained organic soils (N2O);2020;0.0267
Equatorial Guinea;On-farm energy use;2000;25.0222
Equatorial Guinea;On-farm energy use;2020;67.6359
Equatorial Guinea;Forestland;2000;-5730.0833
Equatorial Guinea;Forestland;2020;0
Equatorial Guinea;Net Forest conversion;2000;9560.9878
Equatorial Guinea;Net Forest conversion;2020;3832.2797
Equatorial Guinea;Savanna fires;2000;0
Equatorial Guinea;Savanna fires;2020;0
Equatorial Guinea;Fires in organic soils;2000;0
Equatorial Guinea;Fires in organic soils;2020;0
Equatorial Guinea;Forest fires;2000;0
Equatorial Guinea;Forest fires;2020;1.3879
Equatorial Guinea;Fires in humid tropical forests;2000;0
Equatorial Guinea;Fires in humid tropical forests;2020;1.3879
Equatorial Guinea;Agrifood Systems Waste Disposal;2000;80.2589
Equatorial Guinea;Agrifood Systems Waste Disposal;2020;116.8954
Equatorial Guinea;On-farm Electricity Use;2000;1.0156
Equatorial Guinea;On-farm Electricity Use;2020;10.7592
Equatorial Guinea;Food Packaging;2020;10.7785
Equatorial Guinea;Food Retail;2000;21.3298
Equatorial Guinea;Food Retail;2020;174.5153
Equatorial Guinea;Food Household Consumption;2000;6.5692
Equatorial Guinea;Food Household Consumption;2020;55.3204
Equatorial Guinea;Food Transport;2000;20.1813
Equatorial Guinea;Food Transport;2020;51.6089
Equatorial Guinea;Energy;2000;11764.165
Equatorial Guinea;Energy;2020;15900.349
Equatorial Guinea;IPPU;2000;2.6118
Equatorial Guinea;IPPU;2020;1203.804
Equatorial Guinea;Waste;2000;104.8641
Equatorial Guinea;Waste;2020;518.283
Equatorial Guinea;Other;2000;6.625
Equatorial Guinea;Other;2020;17.596
Eritrea;Crop Residues;2000;16.1685
Eritrea;Crop Residues;2020;28.9245
Eritrea;Burning - Crop residues;2000;2.9953
Eritrea;Burning - Crop residues;2020;2.8245
Eritrea;Enteric Fermentation;2000;2930.447
Eritrea;Enteric Fermentation;2020;3244.7788
Eritrea;Manure Management;2000;118.0531
Eritrea;Manure Management;2020;126.3581
Eritrea;Manure left on Pasture;2000;1242.6993
Eritrea;Manure left on Pasture;2020;1341.2349
Eritrea;Manure applied to Soils;2000;23.0271
Eritrea;Manure applied to Soils;2020;36.307
Eritrea;Synthetic Fertilizers;2000;29.7955
Eritrea;Synthetic Fertilizers;2020;19.258
Eritrea;Drained organic soils;2000;8.684
Eritrea;Drained organic soils;2020;8.684
Eritrea;Drained organic soils (CO2);2000;8.3403
Eritrea;Drained organic soils (CO2);2020;8.3403
Eritrea;Drained organic soils (N2O);2000;0.3437
Eritrea;Drained organic soils (N2O);2020;0.3437
Eritrea;On-farm energy use;2000;26.2301
Eritrea;On-farm energy use;2020;19.5363
Eritrea;Forestland;2000;-243.1507
Eritrea;Forestland;2020;-214.8526
Eritrea;Net Forest conversion;2000;671.66
Eritrea;Net Forest conversion;2020;656.3847
Eritrea;Savanna fires;2000;154.7249
Eritrea;Savanna fires;2020;24.5112
Eritrea;Fires in organic soils;2000;0
Eritrea;Fires in organic soils;2020;0
Eritrea;Forest fires;2000;34.3763
Eritrea;Forest fires;2020;0
Eritrea;Fires in humid tropical forests;2000;0
Eritrea;Fires in humid tropical forests;2020;0
Eritrea;Agrifood Systems Waste Disposal;2000;89.9118
Eritrea;Pesticides Manufacturing;2000;1
Eritrea;Pesticides Manufacturing;2020;1
Eritrea;On-farm Electricity Use;2000;9.8064
Eritrea;On-farm Electricity Use;2020;12.6361
Eritrea;Food Retail;2000;38.7567
Eritrea;Food Retail;2020;12.9399
Eritrea;Food Household Consumption;2000;9.3187
Eritrea;Food Household Consumption;2020;17.9067
Eritrea;Food Transport;2000;22.7311
Eritrea;Food Transport;2020;23.9376
Eritrea;Energy;2000;990.185
Eritrea;Energy;2020;1264.61
Eritrea;IPPU;2000;21.8099
Eritrea;IPPU;2020;113.0155
Eritrea;Waste;2000;596.958
Eritrea;Waste;2020;1027.7
Eritrea;Other;2000;23.691
Eritrea;Other;2020;32.86
Estonia;Crop Residues;2000;50.0527
Estonia;Crop Residues;2020;99.2221
Estonia;Burning - Crop residues;2000;2.5974
Estonia;Burning - Crop residues;2020;6.3284
Estonia;Enteric Fermentation;2000;679.7826
Estonia;Enteric Fermentation;2020;579.3941
Estonia;Manure Management;2000;219.8852
Estonia;Manure Management;2020;189.0935
Estonia;Manure left on Pasture;2000;53.9502
Estonia;Manure left on Pasture;2020;53.1614
Estonia;Manure applied to Soils;2000;85.3056
Estonia;Manure applied to Soils;2020;74.5909
Estonia;Synthetic Fertilizers;2000;123.5408
Estonia;Synthetic Fertilizers;2020;228.9064
Estonia;Drained organic soils;2000;5722.3909
Estonia;Drained organic soils;2020;6185.3509
Estonia;Drained organic soils (CO2);2000;4820.0915
Estonia;Drained organic soils (CO2);2020;5209.9951
Estonia;Drained organic soils (N2O);2000;902.2994
Estonia;Drained organic soils (N2O);2020;975.3557
Estonia;On-farm energy use;2000;115.6194
Estonia;On-farm energy use;2020;329.6538
Estonia;Forestland;2000;-3827.4137
Estonia;Forestland;2020;-574.0618
Estonia;Net Forest conversion;2000;0
Estonia;Net Forest conversion;2020;0
Estonia;Savanna fires;2000;0.0355
Estonia;Savanna fires;2020;0.0788
Estonia;Fires in organic soils;2000;0
Estonia;Fires in organic soils;2020;0
Estonia;Forest fires;2000;1.3663
Estonia;Forest fires;2020;0
Estonia;Fires in humid tropical forests;2000;0
Estonia;Fires in humid tropical forests;2020;0
Estonia;Agrifood Systems Waste Disposal;2000;150.0227
